Pos,Age,Matches Played,Starts ,mins,90s,Gls,Ast,Xg
0,31,30,30,2650,29.4,2,0,0.05
1,28,30,29,2616,29.1,9,12,0.16
2,34,29,29,2610,29,0,0,0
1,28,27,27,2387,26.5,4,1,0.07
0,20,30,26,2327,25.9,11,11,0.34
1,23,28,25,2063,22.9,8,7,0.32
0,31,28,23,1924,21.4,5,6,0.21
1,25,24,19,1727,19.2,0,1,0.04
0,25,21,18,1582,17.6,3,4,0.13
1,23,18,17,1478,16.4,1,0,0.04
1,22,23,16,1388,15.4,1,1,0.13
3,23,19,16,1369,15.2,11,8,0.86
0,29,24,14,1338,14.9,2,2,0.06
1,24,17,12,1160,12.9,2,0,0.05
3,28,16,9,834,9.3,5,0,0.52
3,23,20,6,724,8,2,5,0.28
0,24,21,6,667,7.4,5,2,0.47
3,21,22,4,369,4.1,2,0,0.75
3,31,6,2,234,2.6,0,0,0.52
2,23,1,1,90,1,0,0,0
0,27,8,1,86,1,0,0,0.13
1,21,2,0,34,0.4,0,0,0.06
0,20,5,0,27,0.3,0,0,0.22
0,19,3,0,16,0.2,0,1,0.14
1,26,0,0,NaN,NaN,NaN,NaN,NaN
3,16,0,0,NaN,NaN,NaN,NaN,NaN
2,30,0,0,NaN,NaN,NaN,NaN,NaN
1,18,0,0,NaN,NaN,NaN,NaN,NaN
3,16,0,0,NaN,NaN,NaN,NaN,NaN
